k (inverse Angstrom)	Variance	Vk_error
0.20484	0.002382907	1.00 
0.22191	0.002701598	1.00 
0.23898	0.003193243	1.00 
0.25605	0.003684406	1.00 
0.27312	0.004081071	1.00 
0.29019	0.004311913	1.00 
0.30726	0.004437938	1.00 
0.32433	0.00434989	1.00 
0.3414	0.004143968	1.00 
0.35847	0.00380309	1.00 
0.37554	0.003533509	1.00 
0.39261	0.003233204	1.00 
0.40968	0.002866102	1.00 
0.42675	0.00257826	1.00 
0.44382	0.002620891	1.00 
0.46089	0.002661293	1.00 
0.47796	0.002509981	1.00 
0.49503	0.002475635	1.00 
0.5121	0.002352595	1.00 
0.52917	0.0023609	1.00 
0.54624	0.002285108	1.00 
0.56331	0.002165162	1.00 
0.58038	0.002059502	1.00 
0.59745	0.002012773	1.00 
0.61452	0.001934686	1.00 
